iter	PRAUC	Logloss
0	0.1663830185	0.6157255757
1	0.1308529606	0.5486278678
2	0.1320633751	0.4906290765
3	0.1350706164	0.4412110244
4	0.1608558032	0.3936573472
5	0.1634274097	0.358322107
6	0.1705592374	0.3281322343
7	0.1824281257	0.293285461
8	0.1818769127	0.2736631685
9	0.1984327122	0.2524589676
10	0.1984226008	0.2382980572
11	0.2123361139	0.2209210385
12	0.2179312893	0.2073834429
13	0.2179370034	0.1988249799
14	0.2160960877	0.1907506123
15	0.2220410772	0.180199417
16	0.2252681988	0.1718497229
17	0.2258541227	0.1665568308
18	0.2274707181	0.1600794632
19	0.2300833885	0.1541378218
20	0.230594288	0.149818948
21	0.230633135	0.1471135426
22	0.2330801353	0.1434896974
23	0.2331471197	0.1406083219
24	0.2338668213	0.1384169046
25	0.2344123404	0.1367287885
26	0.235693076	0.1342468183
27	0.2378280226	0.1322347889
28	0.2401151968	0.1305691183
29	0.2406490008	0.129122075
30	0.2421148547	0.1274455987
31	0.2434205724	0.1259634954
32	0.244386838	0.1253834586
33	0.2454377491	0.1245053124
34	0.246292604	0.1238994051
35	0.2476272931	0.1226709448
36	0.2489644426	0.1217893913
37	0.2498939064	0.1208265768
38	0.2508092377	0.1202172069
39	0.2521064269	0.119431404
40	0.2526270272	0.1190176504
41	0.2536448746	0.1182524433
42	0.254699434	0.1178405209
43	0.2552091572	0.1174147483
44	0.2555707224	0.1171987406
45	0.2563157557	0.1164819684
46	0.2569775075	0.1162694293
47	0.257927783	0.1160885812
48	0.2586006263	0.1156916734
49	0.2589168608	0.1155639899
50	0.2595593722	0.1153547407
51	0.2599056984	0.1152614853
52	0.2604997449	0.1148835392
53	0.2611441196	0.1147526783
54	0.2618184461	0.1144007365
55	0.2623207199	0.1141288436
56	0.2628106959	0.1139516896
57	0.2631787234	0.1137695436
58	0.2636800759	0.1135323744
59	0.2639849614	0.1133698007
60	0.2645112723	0.1132201033
61	0.2649274311	0.1131473415
62	0.2654681022	0.1129255785
63	0.2656022374	0.1127988771
64	0.2660707682	0.1126926801
65	0.266369632	0.1125724879
66	0.2668889776	0.1124789413
67	0.267436871	0.1124327343
68	0.2678078845	0.1123627607
69	0.2683147045	0.1122573111
70	0.2686063447	0.1121732849
71	0.2690406549	0.1120948086
72	0.2694941137	0.112033673
73	0.2700042953	0.1119406949
74	0.2703586434	0.1118232797
75	0.2705085797	0.111716939
76	0.2708023767	0.1116672463
77	0.2711653867	0.1116342846
78	0.2713475087	0.1115740884
79	0.2718334917	0.1115178162
80	0.2725730346	0.1114037122
81	0.2730425117	0.1113663987
82	0.2733693952	0.1112889686
83	0.2737381319	0.1111901718
84	0.2740235626	0.1111256373
85	0.2741316655	0.1110481203
86	0.2744073506	0.1110214149
87	0.27471356	0.1109732795
88	0.2750985185	0.1109097644
89	0.2756048911	0.1108458512
90	0.2759616892	0.1108253638
91	0.2764516126	0.1107754615
92	0.2766971497	0.1107263434
93	0.2770865166	0.1107010346
94	0.2773031598	0.1106315793
95	0.2779136333	0.1106000593
96	0.2782748044	0.1105478571
97	0.2786521239	0.1104728057
98	0.2789855323	0.1104445736
99	0.2794806434	0.1103581924
100	0.2797996446	0.1103174034
101	0.2800639134	0.1103029705
102	0.2803288265	0.1102348865
103	0.2809822797	0.1101977703
104	0.2815937697	0.1101521202
105	0.2817074367	0.1101177296
106	0.2821402909	0.1100886212
107	0.2823907791	0.1100521171
108	0.282710908	0.1099853565
109	0.2829600802	0.1099720499
110	0.2836288846	0.1099133414
111	0.2838201973	0.1098710747
112	0.2842406369	0.1098222887
113	0.2845402224	0.109788107
114	0.2850495898	0.1097190178
115	0.2855865331	0.1096546893
116	0.2859350038	0.109606504
117	0.2863435111	0.1095472236
118	0.2867672983	0.1095159992
119	0.2871431779	0.1094362864
120	0.2877917958	0.1093945675
121	0.2880591042	0.1093399399
122	0.2882306009	0.1093269924
123	0.2884812394	0.1092988263
124	0.2886359005	0.1092705461
125	0.2887582099	0.1092499565
126	0.2889312812	0.1092240461
127	0.2891917538	0.1092070702
128	0.2895632702	0.1091832111
129	0.289574524	0.1091813119
130	0.2900187094	0.1091412186
131	0.2902462276	0.1090848573
132	0.2905973802	0.1090408105
133	0.2908960862	0.109008659
134	0.2909623396	0.1090005348
135	0.2912142094	0.1089659272
136	0.2915024545	0.1089473707
137	0.2915945135	0.1089406989
138	0.2918492792	0.1089234258
139	0.2922017384	0.1088669484
140	0.2924554069	0.1088514714
141	0.2927272902	0.1088241818
142	0.2928414864	0.1088160268
143	0.2932052036	0.1087975515
144	0.2934484132	0.1087806842
145	0.2939490339	0.1087501384
146	0.2943472586	0.1087172311
147	0.2945167185	0.108706094
148	0.2950236437	0.1086743216
149	0.2951927016	0.1086563694
150	0.2952369608	0.1086425417
151	0.2955322164	0.1086047169
152	0.2958785979	0.10858119
153	0.2962414589	0.1085473007
154	0.2964032448	0.1085336038
155	0.2966419711	0.1085202776
156	0.296741081	0.1084925589
157	0.2971042341	0.1084294762
158	0.2973290506	0.1084091675
159	0.2976342033	0.1083899364
160	0.2977359437	0.1083616639
161	0.2979527803	0.1083248022
162	0.2982814256	0.108305351
163	0.2986676547	0.1082668711
164	0.2988569192	0.1082432547
165	0.2990703314	0.1082239899
166	0.2991943624	0.108212578
167	0.2994129603	0.1081820098
168	0.2998476302	0.1081565317
169	0.3003404318	0.1081033798
170	0.3005258765	0.10807665
171	0.3008949394	0.1080538669
172	0.3009203514	0.108050141
173	0.3013760475	0.1080253601
174	0.3014684837	0.1079853098
175	0.3015295689	0.1079817456
176	0.301886242	0.1079091687
177	0.3020924061	0.1078960811
178	0.3021615119	0.1078897368
179	0.3022460586	0.1078822914
180	0.3024542497	0.1078700577
181	0.3027448513	0.1078472962
182	0.3029476448	0.107829337
183	0.3032803641	0.1078115602
184	0.3036233611	0.1077856139
185	0.3038946955	0.1077571274
186	0.3040013352	0.1077477887
187	0.3044436505	0.1077065736
188	0.3044780179	0.1076978808
189	0.3046642843	0.1076738014
190	0.3047345855	0.107634691
191	0.3047627234	0.1076339457
192	0.305050185	0.1075762688
193	0.3050932766	0.1075749877
194	0.3052104441	0.1075694708
195	0.3056052043	0.1075462466
196	0.3056842002	0.1075412597
197	0.3060740461	0.1075215111
198	0.3061380697	0.1075165664
199	0.3063743364	0.107498702
200	0.3066032227	0.1074662527
201	0.3069113983	0.1074296544
202	0.3071409109	0.1074155201
203	0.3071514362	0.1074150005
204	0.3074313326	0.107399096
205	0.3075426604	0.1073682256
206	0.3076047783	0.1073535367
207	0.3076522496	0.1073501086
208	0.3078893504	0.1073392942
209	0.3082866855	0.1072921564
210	0.3086612555	0.1072634769
211	0.3088730122	0.1072378246
212	0.3090462655	0.1072101708
213	0.3092955805	0.1071907326
214	0.3095656606	0.1071552698
215	0.309848868	0.1071353362
216	0.3100360897	0.1071178821
217	0.3104447396	0.1070884329
218	0.3105838101	0.1070645795
219	0.3109181838	0.1070287184
220	0.3110226054	0.1070244353
221	0.3111932395	0.1070009378
222	0.3113360162	0.1069915972
223	0.3115489699	0.106975087
224	0.3116536387	0.1069698009
225	0.3120776864	0.1069259842
226	0.3121145066	0.1069171003
227	0.3122874695	0.1069084625
228	0.3126970212	0.1068846614
229	0.3127525099	0.1068823527
230	0.312819566	0.1068606405
231	0.3129568923	0.1068526766
232	0.3131252738	0.1068438847
233	0.3132175612	0.1068358851
234	0.3136133561	0.1068098747
235	0.3137956931	0.1067953277
236	0.3140049397	0.1067766091
237	0.314148969	0.1067538856
238	0.3143741434	0.1067346215
239	0.3147280779	0.1067052767
240	0.3148599618	0.1066894374
241	0.3151219374	0.1066686704
242	0.3152706444	0.1066571109
243	0.3154090379	0.1066458591
244	0.3155664628	0.1066336759
245	0.3158354898	0.1066184841
246	0.3159238334	0.1066141519
247	0.3160273062	0.1066047876
248	0.3161346699	0.1065959484
249	0.3164845616	0.1065736132
250	0.316687748	0.1065584699
251	0.3169140506	0.1065469802
252	0.317157415	0.1065276527
253	0.3173238889	0.1065109615
254	0.317624231	0.1064730663
255	0.3179210124	0.1064508168
256	0.3180332933	0.106442934
257	0.3181764331	0.1064293179
258	0.3184503202	0.106412255
259	0.3184877312	0.1064069782
260	0.3186526321	0.1063937834
261	0.3189053142	0.1063727139
262	0.3191234193	0.1063543431
263	0.3195144425	0.1063218321
264	0.3195975803	0.106312859
265	0.3197310794	0.1063046616
266	0.3201371501	0.1062809667
267	0.3202983065	0.1062633722
268	0.3203582075	0.106257758
269	0.3204772719	0.1062502868
270	0.3207603569	0.1062259399
271	0.3208863941	0.1062146981
272	0.3209943823	0.1062019985
273	0.3212144134	0.1061879962
274	0.3215604588	0.106172436
