iter	Passed	Remaining
0	387	581152
1	669	501556
2	939	468841
3	1241	464319
4	1545	462215
5	1913	476445
6	2189	466988
7	2509	468010
8	2648	438839
9	2955	440344
10	3076	416406
11	3387	420065
12	3651	417711
13	3780	401265
14	3953	391387
15	4229	392269
16	4479	390771
17	4747	390837
18	5022	391453
19	5318	393547
20	5556	391351
21	5802	389798
22	6087	390939
23	6364	391429
24	6632	391313
25	6902	391296
26	7210	393369
27	7511	394908
28	7787	395034
29	8053	394643
30	8305	393587
31	8592	394196
32	8970	398783
33	9276	399990
34	9587	401299
35	9891	402250
36	10164	401925
37	10462	402541
38	10824	405485
39	11177	407995
40	11514	409744
41	11870	412058
42	12181	412746
43	12570	415959
44	12880	416480
45	13219	417862
46	13583	419947
47	13913	420881
48	14221	421123
49	14505	420653
50	14814	420906
51	15124	421153
52	15454	421947
53	15766	422203
54	16109	423230
55	16425	423545
56	16738	423752
57	17180	427153
58	17542	428457
59	17912	429892
60	18286	431371
61	18645	432449
62	18971	432741
63	19319	433490
64	19661	434064
65	20018	434943
66	20374	435769
67	20722	436381
68	21063	436836
69	21378	436727
70	21741	437592
71	22045	437240
72	22366	437215
73	22674	436939
74	23012	437240
75	23351	437527
76	23687	437756
77	24049	438442
78	24385	438630
79	24729	438941
80	25111	439909
81	25464	440354
82	25948	442993
83	26461	446060
84	27034	450048
85	27514	452385
86	28034	455321
87	28557	458218
88	29117	461627
89	29623	464095
90	30243	468282
91	30747	470565
92	31197	471990
93	31719	474441
94	32188	476049
95	32630	477217
96	33001	477337
97	33339	476952
98	33694	476822
99	34045	476638
100	34367	476045
101	34702	475623
102	35046	475344
103	35409	475301
104	35753	475009
105	36079	474475
106	36411	474029
107	36772	473954
108	37143	474004
109	37495	473808
110	37980	475273
111	38416	476095
112	38849	476851
113	39289	477681
114	39738	478593
115	40403	482060
116	40835	482696
117	41395	484821
118	41915	486428
119	42284	486271
120	42680	486420
121	43053	486297
122	43459	486532
123	43837	486451
124	44235	486587
125	44598	486337
126	44964	486113
127	45313	485709
128	45718	485891
129	45914	483866
130	46246	483291
131	46598	482932
132	46962	482684
133	47321	482401
134	47733	482636
135	48082	482234
136	48445	481977
137	48777	481417
138	49113	480889
139	49430	480182
140	49785	479850
141	50186	479948
142	50569	479883
143	50950	479788
144	51335	479725
145	51700	479469
146	52083	479378
147	52469	479318
148	52852	479222
149	53256	479312
150	53700	479749
151	54138	480125
152	54587	480580
153	54978	480529
154	55374	480504
155	55767	480455
156	56168	480477
157	56594	480695
158	57042	481092
159	57331	480152
160	57713	479989
161	58102	479883
162	58499	479841
163	58878	479640
164	59231	479235
165	59585	478839
166	59988	478829
167	60367	478630
168	60731	478306
169	61115	478135
170	61537	478265
